NOMBRE_TEMA;TEXTO_A_COMPLETAR;LINK_IMAGEN
COLORES;ROJO;https://i.imgur.com/JShpT47.png
COLORES;MARRON;https://i.imgur.com/GMSTLBw.png
COLORES;ANARANJADO;https://i.imgur.com/UWU3GFB.png
COLORES;BLANCO;https://i.imgur.com/6cz7Xxp.jpg
COLORES;VIOLETA;https://i.imgur.com/DDujooL.png
COLORES;ROSA;https://i.imgur.com/XaTZ0Ld.png
COLORES;NEGRO;https://i.imgur.com/sdsipWO.jpg
COLORES;AZUL;https://i.imgur.com/c18h6Zf.png
COLORES;VERDE;https://i.imgur.com/UABfHpA.png
COLORES;AMARILLO;https://i.imgur.com/xNuGMTo.png
END;;
